transactionId,accountNumber,amount,transactionType,description,timestamp,merchantId
TXN001,ACC001,150.50,DEBIT,Purchase at grocery store,2023-08-20T10:30:00,MERCHANT001
TXN002,ACC002,25000.00,TRANSFER,Large transfer - suspicious,2023-08-20T02:15:00,BANK001
TXN003,ACC003,-50.00,CREDIT,Invalid negative amount,2023-08-20T14:20:00,MERCHANT002
TXN004,ACC001,15000.00,DEBIT,Late night ATM withdrawal,2023-08-19T23:45:00,ATM001
TXN005,ACC004,75.25,DEBIT,Coffee shop purchase,2023-08-20T08:30:00,MERCHANT003
TXN006,ACC005,100.00,DEBIT,Round number transaction,2023-08-20T12:00:00,CASH001
TXN007,ACC006,5000.00,TRANSFER,Weekend transfer,2023-08-19T15:30:00,BANK002
TXN008,,250.00,DEBIT,Missing account number,2023-08-20T09:15:00,MERCHANT004
TXN009,ACC007,30000.00,DEBIT,Very high amount transaction,2023-08-20T01:00:00,UNKNOWN001
TXN010,ACC008,45.75,PAYMENT,Normal payment,2023-08-20T16:45:00,MERCHANT005